    1.0000000000000000E+01   0.0000000000000000E+00   0.0000000000000000E+00   1.0000000000000000E+00
    9.9985715816209478E+01   2.1426757505072425E-01  -7.1416667969675688E-05   1.0000714166679696E+01
    4.9971440812581413E+01   2.1421317359709011E-01  -2.8552389289534282E-04   5.0014276194644767E+00
    3.3290517488574842E+01   2.1412255865172672E-01  -6.4189380639744300E-04   3.3354729793546580E+00
    2.4942954982273257E+01   2.1399581133590082E-01  -1.1398148542059458E-03   2.5028495371355151E+00
    1.9928762389774906E+01   2.1383304503002579E-01  -1.7782941279972867E-03   2.0035565882559947E+00
    1.6581282084676733E+01   2.1363440518473878E-01  -2.5560606146008183E-03   1.6709267676910013E+00
    1.4186237323397059E+01   2.1340006907862419E-01  -3.4715693473224519E-03   1.4335308133533178E+00
    1.2386494136367729E+01   2.1313024552305193E-01  -4.5230064399357679E-03   1.2556537580499196E+00
    1.0983648616237236E+01   2.1282517451470401E-01  -5.7082949798120961E-03   1.1174536610886801E+00
    9.8586618253370180E+00   2.1248512683646589E-01  -7.0251017527255084E-03   1.0070251017527254E+00
    8.9357847466829927E+00   2.1211040360746569E-01  -8.4708447680997730E-03   9.1679167706190889E-01
    8.1645207532888975E+00   2.1170133578314665E-01  -1.0042701549884334E-02   8.4170225129157028E-01
    7.5099130861074492E+00   2.1125828360636451E-01  -1.1737618154876213E-02   7.7825970627298169E-01
    6.9469948364647642E+00   2.1078163601060507E-01  -1.3552318877163631E-02   7.2396594205511688E-01
    6.4574589310727228E+00   2.1027180997652090E-01  -1.5483316594472721E-02   6.7698887772964844E-01
    6.0275768686744708E+00   2.0972924984309069E-01  -1.7526923709566995E-02   6.3595432731847934E-01
    5.6468520166579630E+00   2.0915442657480665E-01  -1.9679263637493821E-02   5.9981133155146693E-01
    5.3071218056118319E+00   2.0854783698639826E-01  -2.1936282787405465E-02   5.6774237932633642E-01
    5.0019434385548989E+00   2.0791000292670092E-01  -2.4293762985913670E-02   5.3910198051890190E-01
    4.7261638848864722E+00   2.0724147042337798E-01  -2.6747334287474535E-02   5.1337366714373722E-01
    4.4756127309987956E+00   2.0654280879030174E-01  -2.9292488116149991E-02   4.9013928005530955E-01
    4.2468787969754072E+00   2.0581460969949505E-01  -3.1924590682256802E-02   4.6905663212829857E-01
    4.0371450255269847E+00   2.0505748621962755E-01  -3.4638896616895579E-02   4.4984299852908505E-01
    3.8440646472705953E+00   2.0427207182315041E-01  -3.7430562767149185E-02   4.3226273448631214E-01
    3.6656670651484125E+00   2.0345901936424052E-01  -4.0294662094849866E-02   4.1611786483793994E-01
    3.5002854568480735E+00   2.0261900002980640E-01  -4.3226197622231871E-02   4.0124084523931997E-01
